ID;Begriff
969;Bundesmantelvertrag
970;Bundesministergesetz
971;Bundesministerium der Finanzen
972;Bundespersonalausschuss
973;Bundespflegesatzverordnung
974;Bundespolizeibeamtengesetz
975;Bundespolizeigesetz
976;Bundespräsident
977;Bundesreaktionsbeschluss
978;Bundesrecht
979;Bundesrecht bricht Landesrecht
980;Bundesreisekostengesetz
981;Bundesschiedsamt
982;Bundessozialhilfegesetz
983;Bundesstaatsklausel
984;Bundessteuer
985;Bundessteuerblatt
986;Bundesstiftung Mutter und Kind
987;Bundesteilhabegesetz
988;Bundesumzugskostengesetz
989;Bundesurlaubsgesetz
990;Bundesverband Lohnsteuerhilfevereine
991;Bundesverband der Lohnsteuerhilfevereine
992;Bundesvereinigung der kommunalen Spitzenverbände
993;Bundesverfassungsgericht
994;Bundesverfassungsgerichtsgesetz
995;Bundesverfassungsschutzgesetz
996;Bundesversammlung
997;Bundesvertriebenengesetz
998;Bundesverwaltung
999;Bundeswehr-Attraktivitätssteigerungsgesetz
1000;Bundeswehrdisziplinaranwalt
1001;Bundeswehreinsatz in Afghanistan
1002;Bundeszentralamt für Steuern
1003;Bundeszentrale für politische Bildung
